,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Atambua,92,ID,1552004245,100,-9.11,124.89,76.82,9.35
375,San Quintin,64,PH,1552004247,67,17.54,120.52,74.93,3.87
376,Nguruka,36,TZ,1552004248,99,-5.11,31.04,65.48,3.2
377,Caninde de Sao Francisco,0,BR,1552004249,73,-9.66,-37.79,78.03,11.14
378,Rio Grande,8,BR,1552004208,94,-32.03,-52.1,74.75,4.76
379,North Bend,75,US,1552004231,81,43.41,-124.22,46.99,5.82
380,Haines Junction,0,CA,1552004253,78,60.75,-137.51,11.21,2.64
381,Vestmannaeyjar,8,IS,1552004255,100,63.44,-20.27,33.53,22.32
382,Schluchtern,0,DE,1552004244,61,49.15,9.1,50.0,6.93
383,Hasaki,20,JP,1552003543,60,35.73,140.83,45.0,8.05
384,Nauta,44,PE,1552004259,86,-4.51,-73.58,79.56,2.75
385,Wladyslawowo,0,PL,1552003905,81,54.79,18.4,45.0,6.93
386,Sonneberg,76,DE,1552004019,77,50.36,11.17,46.0,3.0
387,Jiuquan,12,CN,1552004263,69,39.73,98.49,15.71,4.43
388,Kichmengskiy Gorodok,88,RU,1552004265,81,59.99,45.81,22.46,11.03
389,Ranong,20,TH,1551999600,100,9.96,98.62,68.0,5.66
390,Markova,20,RU,1552003780,85,52.21,104.21,21.99,6.71
391,Chontalpa,48,MX,1552004269,87,17.7,-93.52,78.62,4.99
392,Hamilton,75,BM,1552003202,62,32.3,-64.78,57.2,13.87
393,Vigrestad,90,NO,1552004246,86,58.57,5.7,39.2,25.28
394,Kosh-Agach,0,RU,1552004274,49,49.99,88.66,-8.51,3.42
395,Cuiluan,8,CN,1552004275,57,47.72,128.65,22.05,4.32
396,Gari,12,RU,1552004277,63,59.43,62.35,15.71,9.46
397,Anzio,0,IT,1552004224,82,41.45,12.63,57.99,8.05
398,Cingoli,0,IT,1552004272,51,43.37,13.22,62.6,16.11
399,Naryan-Mar,24,RU,1552004281,73,67.67,53.09,13.68,20.65
400,Jalu,0,LY,1552004243,63,29.03,21.55,48.38,3.09
401,Musoma,8,TZ,1552004284,95,-1.5,33.81,68.54,6.22
402,Deputatskiy,80,RU,1552004285,59,69.3,139.9,-3.56,3.31
403,Kudahuvadhoo,100,MV,1552004287,100,2.67,72.89,82.13,3.76
404,Tautira,20,PF,1552003987,63,-17.73,-149.15,91.4,6.93
405,Mukilteo,75,US,1552004125,75,47.95,-122.3,45.0,3.36
406,Inhambane,0,MZ,1552004181,92,-23.87,35.38,78.48,5.77
407,Lasa,20,CY,1552004176,81,34.92,32.53,53.6,8.05
408,Vao,92,EE,1552004293,96,59.1,26.19,39.83,9.8
409,Vieques,75,PR,1552004268,65,18.43,-65.83,78.8,11.41
410,Abu Kamal,0,SY,1552004296,77,34.45,40.92,41.13,16.4
411,Sagua la Grande,20,CU,1551999060,60,22.81,-80.07,73.4,16.11
412,Kuytun,0,RU,1552004299,57,54.34,101.51,4.91,4.21
413,Neiafu,40,TO,1551999600,74,-18.65,-173.98,84.2,8.05
414,Paita,8,PE,1552004224,58,-5.09,-81.11,80.78,6.44
415,Mapulot,0,PH,1552004303,88,14.03,122.54,76.23,7.23
416,Zhangjiakou,20,CN,1552004305,74,40.77,114.88,18.36,2.19
417,Quepos,20,CR,1552004271,56,9.43,-84.16,77.0,20.8
418,Mitsamiouli,48,KM,1552004307,100,-11.38,43.28,80.15,3.42
419,Macapa,20,BR,1551999600,88,0.05,-51.07,80.6,11.41
420,Misratah,44,LY,1552004310,81,32.38,15.09,59.76,15.61
421,Quesnel,88,CA,1552003232,86,52.98,-122.49,26.01,2.75
422,Naze,24,NG,1552004313,87,5.43,7.07,76.05,3.53
423,Faya,0,SA,1551999600,76,18.39,42.45,55.4,11.41
424,Lima,0,PE,1552004105,78,-12.06,-77.04,75.2,12.75
425,Tongliao,8,CN,1552004317,44,43.61,122.27,33.89,12.03
426,Doha,0,QA,1551999600,55,25.29,51.53,62.6,4.7
427,Shimoda,20,JP,1552003128,49,34.7,138.93,48.2,19.46
428,Nara,20,JP,1552004065,52,34.68,135.8,46.0,12.75
429,Dubrovnik,0,HR,1552003818,75,42.65,18.09,59.0,23.67
430,Pokaran,44,IN,1552004324,55,26.93,71.92,63.23,5.55
431,Kamra,32,PK,1552004127,81,33.86,72.39,50.0,1.01
432,Monrovia,20,LR,1552003200,94,6.33,-10.8,73.4,5.1
433,Barisal,0,BD,1552004328,96,22.7,90.37,66.29,1.3
434,Jinchang,88,CN,1552004095,76,38.52,102.19,23.72,6.33
435,Novyye Burasy,0,RU,1552004316,72,52.13,46.08,15.8,6.71
436,Alofi,12,NU,1551999600,70,-19.06,-169.92,84.2,12.75
437,Alzamay,0,RU,1552004333,70,55.55,98.67,10.53,2.53
438,Igarka,88,RU,1552004335,92,67.47,86.57,29.3,16.06
439,Beloha,0,MG,1552004336,73,-25.17,45.06,74.3,12.03
440,Shirokiy,80,RU,1552004154,54,53.87,39.17,21.0,7.0
441,Port Hawkesbury,1,CA,1552004228,55,45.62,-61.36,10.99,6.93
442,Sao Geraldo do Araguaia,92,BR,1552004340,85,-6.4,-48.55,77.72,5.21
443,Kutum,8,SD,1552004341,31,14.2,24.66,56.84,8.57
444,Berlevag,40,NO,1551999000,73,70.86,29.09,19.4,19.46
445,Mehran,90,IR,1551999600,86,33.12,46.17,41.0,4.7
446,Scottsbluff,90,US,1552004110,92,41.87,-103.67,35.01,8.05
447,Sabha,0,LY,1552004347,31,27.03,14.43,51.93,12.15
448,Fare,56,PF,1552004348,94,-16.7,-151.02,85.5,17.07
449,Rayagada,88,IN,1552004350,96,19.17,83.42,70.34,2.75
450,Terney,0,RU,1552004351,73,45.05,136.61,32.18,9.24
451,Marsh Harbour,24,BS,1552004353,100,26.54,-77.06,70.2,16.28
452,General Roca,0,AR,1551999600,28,-39.03,-67.58,73.4,14.99
453,Sinnamary,88,GF,1552004355,92,5.38,-52.96,79.97,11.59
454,Lorengau,44,PG,1552004357,96,-2.02,147.27,84.02,5.32
455,Coihaique,0,CL,1551999600,53,-45.58,-72.07,51.8,3.09
456,San Nicolas,88,HN,1552004360,72,14.94,-88.33,73.76,2.75
457,Khasan,0,RU,1552004361,77,42.43,130.64,35.91,5.66
458,Ust-Ordynskiy,20,RU,1552003200,85,52.8,104.75,15.8,6.71
459,Ngunguru,80,NZ,1552003684,91,-35.62,174.5,61.0,5.01
460,Pierre,90,US,1552004309,85,44.37,-100.35,18.0,12.75
461,Fukuma,0,JP,1552004167,75,33.77,130.47,51.01,8.05
462,Belaya Gora,8,RU,1552004368,54,68.54,146.19,-19.04,3.65
463,Tikrit,64,IQ,1552004369,97,34.62,43.68,48.56,5.77
464,Pervomayskiy,56,RU,1552004371,87,53.24,40.29,17.6,15.61
465,Mufulira,76,ZM,1552004372,93,-12.55,28.24,62.42,2.75
466,Cervo,36,BR,1552004374,85,-22.19,-46.24,70.79,2.19
467,Novaya Igirma,36,RU,1552004375,74,57.14,103.93,14.72,4.99
468,Aranos,24,NA,1552004376,47,-24.14,19.11,73.22,6.11
469,Merauke,48,ID,1552004378,94,-8.49,140.4,83.3,5.99
470,Pochutla,5,MX,1552004153,52,15.74,-96.47,89.6,1.74
471,Narwar,0,IN,1552004381,64,25.64,77.91,50.99,2.64
472,Makat,36,KZ,1552004382,94,47.65,53.35,26.6,11.36
473,Kimbe,36,PG,1552004384,100,-5.56,150.15,82.35,1.3
474,Carutapera,76,BR,1552004191,96,-1.2,-46.02,75.06,5.21
475,High Level,5,CA,1552003200,49,58.52,-117.13,23.0,6.93
476,Yulara,0,AU,1551999600,20,-25.24,130.99,82.4,12.75
477,Tiebissou,40,CI,1552003970,69,7.16,-5.23,80.6,9.8
478,Praia,0,BR,1551999600,54,-20.25,-43.81,78.8,9.17
479,Hualmay,20,PE,1552004392,74,-11.1,-77.61,73.76,4.09
480,Chadan,0,RU,1552004393,48,51.29,91.58,-1.62,2.75
481,Xichang,0,CN,1552004395,73,27.88,102.25,27.18,2.19
482,Blahodatne,24,UA,1552004396,86,47.7,37.42,35.15,11.7
483,Shima,20,JP,1552001400,49,34.34,136.82,46.4,14.99
484,Lakes Entrance,12,AU,1552004169,60,-37.88,147.99,78.01,1.63
485,Lensk,56,RU,1552004400,74,60.71,114.91,11.21,6.44
486,Paamiut,76,GL,1552004402,90,61.99,-49.67,32.58,18.3
487,Half Moon Bay,40,US,1552004152,71,37.46,-122.43,53.6,8.05
488,Srandakan,92,ID,1552004404,93,-7.94,110.25,73.76,2.75
489,Nieuw Amsterdam,0,SR,1552003812,74,5.88,-55.08,80.6,9.17
490,Petropavlovsk-Kamchatskiy,75,RU,1552001400,92,53.05,158.65,23.0,2.24
491,Marzuq,44,YE,1552004409,76,14.4,46.47,60.26,0.85
492,Vostok,0,RU,1552004411,59,46.45,135.83,24.03,2.75
493,Vestmanna,80,FO,1552002600,74,62.16,-7.17,30.2,1.12
494,Amatan,75,MX,1552002180,74,17.37,-92.82,78.8,0.74
495,Baranchinskiy,64,RU,1552004416,72,58.16,59.7,15.71,11.36
496,Zelenoborskiy,20,RU,1552004417,66,66.84,32.36,-0.99,0.96
497,Samarai,68,PG,1552004419,100,-10.62,150.67,82.53,9.8
498,Moose Factory,90,CA,1552003200,56,51.26,-80.61,14.0,5.82
499,Salalah,0,OM,1551999000,14,17.01,54.1,82.4,4.7
500,Ruteng,48,ID,1552004423,94,-8.61,120.46,75.56,3.2
501,Meulaboh,0,ID,1552004297,100,4.14,96.13,77.9,4.65
502,Sainte-Marie,1,CA,1552004418,84,46.45,-71.03,12.0,6.89
503,Kalianget,40,ID,1552001400,83,-7.35,109.91,77.0,3.36
504,Barkhan,92,PK,1552004429,97,29.9,69.52,44.51,3.2
505,Mao,20,DO,1552004265,65,19.55,-71.08,78.8,9.17
506,Kongolo,48,CD,1552004431,91,-5.39,27.0,71.73,1.97
507,Otacilio Costa,48,BR,1552004399,99,-27.48,-50.12,68.0,1.01
508,Santiago del Estero,8,AR,1552004434,71,-27.8,-64.26,84.47,5.66
509,Santiago de Cuba,40,CU,1551999360,83,20.03,-75.83,77.0,4.7
510,Biltine,0,TD,1552004437,26,14.53,20.93,73.8,9.01
511,Ibra,0,OM,1552004439,98,22.69,58.55,53.33,2.42
512,Ambovombe,44,MG,1552004440,90,-25.18,46.09,75.56,12.26
513,Oxford,90,US,1552004402,37,33.61,-85.83,55.99,2.64
514,Mangrol,0,IN,1552004443,60,25.33,76.51,53.51,2.98
515,Punta de Bombon,0,PE,1552004445,98,-17.17,-71.79,71.15,5.44
516,Nyakabindi,32,TZ,1552004446,91,-2.63,33.98,60.3,2.98
517,Ilinskiy,0,RU,1552003548,73,55.62,38.12,28.99,6.71
518,Soe,90,EE,1552003899,93,57.91,26.05,39.0,12.75
519,Kargil,76,PK,1552004450,84,34.56,76.13,4.37,0.96
520,Codrington,90,AU,1552004420,94,-28.95,153.24,78.8,4.88
521,Belle Fourche,1,US,1552004403,79,44.67,-103.85,41.0,1.19
522,Jiehu,24,CN,1552004455,64,35.54,118.45,30.65,2.75
523,Amantea,0,IT,1552004314,81,39.13,16.07,57.99,6.93
524,Mon,88,IN,1552004457,100,26.73,95.03,57.38,3.2
525,Apiai,64,BR,1552004274,89,-24.51,-48.84,72.59,1.97
526,Dawei,0,MM,1552004460,99,14.07,98.19,69.44,2.08
527,Zhoucheng,8,CN,1551999600,82,31.35,119.33,35.6,4.47
528,Tazovskiy,92,RU,1552004463,92,67.47,78.7,14.45,12.71
529,Shakiso,20,ET,1552004464,65,5.77,38.9,59.18,2.64
530,Aksarka,20,RU,1552004466,73,66.56,67.8,0.05,11.7
531,Dimapur,36,IN,1552004467,93,25.91,93.73,58.05,2.42
532,Aloha,75,US,1552004297,65,45.49,-122.87,46.99,6.93
533,Kabale,48,UG,1552004470,100,-1.26,29.99,54.9,2.64
534,Troutdale,90,US,1552004470,81,45.53,-122.39,46.99,5.82
535,Lavrentiya,80,RU,1552004473,97,65.58,-170.99,23.31,25.34
536,Ikalamavony,68,MG,1552004474,97,-21.17,46.6,60.71,1.86
537,Port Lincoln,80,AU,1552004476,82,-34.72,135.86,68.18,4.65
538,Polunochnoye,12,RU,1552004477,68,60.87,60.43,13.55,10.69
539,Bone,20,ID,1552001400,100,-5.29,119.42,75.2,6.93
540,Richards Bay,24,ZA,1552004480,96,-28.77,32.06,71.24,4.65
541,Jumla,0,NP,1552004481,97,29.28,82.18,13.28,2.42
542,Dingle,8,PH,1552004483,69,11.0,122.67,78.03,11.7
543,Necochea,0,AR,1552004290,57,-38.55,-58.74,66.0,5.99
544,Karaton,20,ID,1552003993,78,-6.34,106.1,78.8,2.42
545,Tual,64,ID,1552004487,100,-5.67,132.75,81.41,10.25
